idn,titel,jahr,signatur,qd_verknuepfung_art,qd_idn
995496943,Extrait des placcarts concernant les imprimeurs et libraires [1544 - 1787],1837,Bö H 55,DNB,995496943
995497478,Michaelis Aitsingeri Austriaci Pentaplvs regnorvm mvndi,1579,"IV 12, 49",DNB,995497478
995502579,"Thesaurus eruditionis scholasticae, sive ratio docendi ac discendi ... Basilio Fabro Sorano",1601,"IV 205, 1 h",DNB,995502579
995504423,Georgii Fabricii|| Chemnicensis|| Rerum Misnicarum|| libri VII ...,1569,"IV 205, 1 a",DNB,995504423
995505454,De aeternitate,1601," IV 205, 94",DNB,995505454
99551142X,"100 Unwarheiten, welche die Calvinisten begehen an der H. Schrifft, den H. Vätern, der Augspurgischen Confession, christlichen Concordienbuch und dem thewren Manne Luthero",1598,"IV 205, 94",DNB,99551142X
995519501,"Poetarvm ve||terum ecclesiasticorum ope||ra Christiana, & operum reli||quiae atq[ue] fragmenta",1564,"IV 27, 1a",DNB,995519501
995540551,Fama Fraternitatis: Oder Entdeckung der Bruderschaft deß löblichen Ordens deß Rosen Creutzes,1617,"IV 114, 51",DNB,995540551
995554994,"Der @Römischen Fontanen wahre Abbildung, wie solche, so wohl auf offentlichen Plätzen und Palatien, als auch zu Frescada Tiuoli und denen Lust-Gärten, mit ihren Prospecten, der Zeit allda zu ersehen sind",1685,"IV 273, 21a",DNB,995554994
995555214,Zur Geschichte der öffentlichen Bibliotheken in Deutschland von Gutenberg bis um 1520,1837,Da 175,DNB,995555214
995556652,Die @Druckkunst im Dienste der Kirche zunächst in Deutschland bis zum Jahre 1520,1879,Da 37,DNB,995556652
995556652,Die @Druckkunst im Dienste der Kirche zunächst in Deutschland bis zum Jahre 1520,1879,Bö C IV 341,DNB,995556652
995556652,Die @Druckkunst im Dienste der Kirche zunächst in Deutschland bis zum Jahre 1520,1879,241.1/Falk,DNB,995556652
995557748,Aventures de Télémaque,1849,Vd 246,DNB,995557748
99555918X,Die @Presse zu Marienthal im Rheingau und ihre Erzeugnisse,1882,Da 177,DNB,99555918X
99555918X,Die @Presse zu Marienthal im Rheingau und ihre Erzeugnisse,1882,Bö C V 580,DNB,99555918X
995577609,Christiani Falsteri Amoenitates philologicae sive discursus varii,1732,Bö C I 13,DNB,995577609
995578613,"Origines des chevaliers, armoiries et héraux",1600,"IV 291, 95",DNB,995578613
995578885,Origines des dignitez et magistrats de France,1600,"IV 291, 95",DNB,995578885
995579423,Kurzgefasste Geschichte der Buchstabenschrift und Stenografie,1873,Da 1075/2,DNB,995579423
995603766,Papier,1931,Ba 162,DNB,995603766
995613419,Das @dritte Jubilaeum einer löblichen Buchdrucher-Kunst,1740,Da 173,DNB,995613419
995616167,Golzerner Papier in Afrika,1958,Ba 221,DNB,995616167
995616698,"""Papier zu machen ist eyn Kunst""",1958,Ba 528,DNB,995616698
99563775X,Friedrich Nicolai's Leben und sonderbare Meinungen,1801,"IV 33, 37 d",DNB,99563775X
995644012,Werthvolle Werke aus dem Fache der Archäologie und klassischen Philologie,1880,Ga 79,DNB,995644012
995656878,Heilmittel gegen einem Krebsschaden der Deutschen Literatur,1849,Bö B III 541,DNB,995656878
995663181,Choix de livres formant le complément nécessaire aux bibliothèques ecclésiastiques,1857,Bö B IV 26,DNB,995663181
995691762,Le @Giornate e la Teogonia di Esiodo Ascreo rappresentate in figure da Giovanni Flaxman,1826,Ve 112,DNB,995691762
99569270X,Iliade d'Omero [Homer] rapprentata in figure da Giovanni Flaxman,1826,Ve 112,DNB,99569270X
995692963,Odissea d'Omero [Homer] rappresentata in figure da Giovanni Flaxman,1826,Ve 112,DNB,995692963
995694133,Schmacht-Loken,1845,"Vab, 113",DNB,995694133
995696268,Le @Tragedie d'Eschilo [Aeschylus] rappresentate in figure da Giovanni Flaxman,1826,Ve 112,DNB,995696268
995699828,"[Sortimentsverzeichnis, vorwiegend d. Schriften v. Heinr. Phil. Konrad Henke]",1810,Bö G II 358,DNB,995699828
995700672,"Geist- und weltliche Poemata, Paull Flemmings",1660,"IV 162, 4a",DNB,995700672
995700729,Versuch einer Analytik des Gefühlvermögens,1793,"IV 48, 8b",DNB,995700729
995722978,Karls des Großen Geburt und Jugendjahre,1816,Va 2135,DNB,995722978
995725632,Francke,1709,"IV 144, 4a",DNB,995725632
995725659,"Kurtze und deutliche Nachricht, in welcher Verfassung die zu Glaucha an Halle, beydes zur Erziehung der Jugend, und ... gemachte Anstalten sich ietziger Zeit im Julio 1709 befinden, zu künftiger 7. Forts. vorläufig ertheilet",1709,"IV 144, 4a",DNB,995725659
995739722,Fortuita sacra,1727,Bö C I 13,DNB,995739722
995752419,Ferdinand Freiligrath,1852,"Va, 1617",DNB,995752419
995756694,"Dissertation sur l'origine et les progrès de l'art de graver en bois, pour éclaircir quelques traits de l'historie de l'imprimerie, et prouver que Guttemberg n'en est pas l'inventeur; par le Jeune Fournier",1753,Bö C III 11,DNB,995756694
995761892,"Traité historique et critique sur l'origine et les progrès des caractères de fonte pour l'impression de la musique, ... présentés aux imprimeurs de France",1765,Bö B III 114,DNB,995761892
995771839,Bibliotheca Meibomiana hoc est Henrici Meibomii medici ac polyhistoris ... supellex libraria ... conspicua a Io[anno] Nicolao Frobesio,1742,Od 17,DNB,995771839
99578468X,Fabeln u[nd] Erzählungen für kleine und große Kinder in Versen und Silhuetten,1854,,DNB,99578468X
995786887,"LVTHERAN|| Ein Hirten Gesprech:|| Vom Abendmahl|| des Herrn Christi.|| Was es eigentlich sey,||...|| Reimßweise.|| Ad imitationem Palsemonis Virgi||liani facta est haec Ecloga||",1592,"IV 90, 12/a",DNB,995786887
995792089,[Gustav Freytag [1816 - 1895],1887,Bö H 224,DNB,995792089
99580558X,[Das @Museum deutscher Gelehrten,1800,,DNB,99580558X
99580897X,Geschichte der nach Rom entführten Heidelberger Bibliothek,1816,Da 35,DNB,99580897X
99580964X,Beiträge zur Buchdruckergeschichte Berlins,1834,Da 44,DNB,99580964X
995830606,"Erläuterung und Verbesserung der bißherigen Process- und Gerichts-Ordnung, nebst einem Anhange von dem Processu Summario, Executivo, Cambali und Possessorio, auch beygefügten unterschiedlichen Mandaten und Ordnungen",1724,"IV 90, 16",DNB,995830606
995831009,"[Erneuerte Konzession zum Lumpensammeln, erteilt am 3. Juni 1698 an den Papiermühlenbesitzer Christoph Austel für seine von Friedrich Wilh. Römer gekaufte Mühle bei Colditz]",1698,Bö H 156/4°,DNB,995831009
995834342,Dei primi libri a stampa in Italia e specialmente di un codice sublacense impresso avanti il Lattanzio e finora creduto posterisre,1875,Da 39,DNB,995834342
995835063,"[Mandat v. 9. Mai 1653, betr. die Last Korn an Joh. Reußner, Drucker in Königsberg",1653,Bö H 257/4°,DNB,995835063
995895252,"Tractatus de expensis et meliorationibus omnibus Caesarum patronis, et in foro, ac in schola versantibus utilissimus",1586,"IV 12, 12a",DNB,995895252
995906637,Sulla nuova sistemazione e miglioramenti portati nella tipografia della R[everenda] C[amera] A[postolica] da sua Eccellenza il sig[nore] Pro-Ministro delle Finanze,1853,Bö B III 301/4°,DNB,995906637
995909121,Catalogue de photographie,1890,Bö B III 1295,DNB,995909121
995912289,H. Gautier de Nismes Kunst zu Tuschen,1761,Bö B III 987,DNB,995912289
995921717,Zum Gedächtnis der vierten Säcularfeier der Erfindung der Buchdruckerkunst zu Heidelberg am 24. Junius 1840,1840,Bö C V 366,DNB,995921717
995921717,Zum Gedächtnis der vierten Säcularfeier der Erfindung der Buchdruckerkunst zu Heidelberg am 24. Junius 1840,1840,Da 385,DNB,995921717
995937532,"Christliches Gebetbuch, zur Erweckung heil",1762,"IV 221, 5 (1. angebundenes Werk)",DNB,995937532
995949905,Neues deutsches Rechtsbuch für das praktische Leben,1900,Va 2495,DNB,995949905
995963711,Anleitung zum mathematischen Satz,1872,Bö B III 507,DNB,995963711
995980446,Lehrgedichte und Erzählungen,1754,"IV 205, 17 h (2. angebundenes Werk)",DNB,995980446
995980705,Lehrgedichte und Erzählungen,1763,"IV 205, 74 b (2. angebundenes Werk)",DNB,995980705
99598221X,Lustspiele,1763,"IV 205, 74 b (3. angebundenes Werk)",DNB,99598221X
995982775,Geistliche Oden und Lieder,1757,"IV 205, 17 h",DNB,995982775
995982775,Geistliche Oden und Lieder,1757,"IV 205, 17 ha",DNB,995982775
995983623,Von den Trostgründen wider ein sieches Leben,1755,"IV 205, 17 h (1. angebundenes Werk)",DNB,995983623
996191828,,1880,Da 37,DNB,996191828
996191984,,1880,"III 3, 17 a (5. angebundenes Werk)",DNB,996191984
996207805,Altenburgisches Gesangbuch nebst Gebeten,1836,"VIII, 213",DNB,996207805
996209271,Christliches Gesangbuch zur Beförderung der öffentlichen und häuslichen Andacht für die evangelisch-protestantische Kirche im Großherzogthum Baden,1837,"IV 167, 4",DNB,996209271
996222154,"Geistreiches Gesangbuch, welches die bekandtesten Lieder in guter Ordnung in sich fasset",1768,"IV 205, 68 a (angebundenes Werk)",DNB,996222154
996224475,Luebeckisches Gesangbuch,1754,"IV 221, 5",DNB,996224475
996226540,"Neu eingerichtetes Eisenachisches Gesangbuch, in welchem nicht allein d. alten in d. Kirche gebräuchlichen Lieder beibehalten, sondern auch 328 neue Gesänge e. Gellerts u. ... eingerückt worden",1835,Va 4241 d,DNB,996226540
99622727X,Neuvermehrtes Altenburgisches Gesang- und Gebethbuch ...,1799,"VIII, 286",DNB,99622727X
996241698,Älteste Geschichte der Xylographie und der Druckkunst überhaupt besonders in der Anwendung auf den Bilddruck,1825,Da 16,DNB,996241698
996254307,Geschichte von Griseldis und dem Markgrafen Walther,1838,Sammlung Vogel 1990/296,DNB,996254307
996255273,"Briefe, nebst einer praktischen Abhandlung von dem guten Geschmacke in Briefen",1763,"IV 205, 74 b (1. angebundenes Werk, Teil 2)",DNB,996255273
996259147,Gellert,1763,"IV 205, 74 b (1. angebundenes Werk)",DNB,996259147
996259260,Gellert,1763,"IV 205, 74 b",DNB,996259260
996273204,"Geschichte von der edlen und schönen Melusina, welche ein Meerwunder und des Königes Helmas Tochter war",1838,Sammlung Vogel 1990/296,DNB,996273204
996273204,"Geschichte von der edlen und schönen Melusina, welche ein Meerwunder und des Königes Helmas Tochter war",1838,Va 497 - 3,DNB,996273204
996284036,Geschichte der seit dreihundert Jahren in Breslau befindlichen Stadtbuchdruckerey als ein Beitrag zur allgemeinen Geschichte der Buchdruckerkunst ; Mit 4 Bild. u. 4 erläutenden Kupferplatten,1804,Da 148,DNB,996284036
996284176,"Gesetzentwurf, die provisorische Einrichtung des Strafverfahrens bei Preß- und solchen Vergehen, welche mittelst Reden in öffentlichen Versammlungen und Vereinen verübt werden, betreffend",1848,Bö E IV 1073/4°,DNB,996284176
996284877,Gesetz-Entwurf über die Presse,1851,Bö E IV 1017/4°,DNB,996284877
996286578,"Der @Schildbürger wunderseltsame, abenteuerliche, unerhörte und bisher unbeschriebene Geschichten und Thaten",1838,Sammlung Vogel 1990/296,DNB,996286578
996286578,"Der @Schildbürger wunderseltsame, abenteuerliche, unerhörte und bisher unbeschriebene Geschichten und Thaten",1838,Va 497 - 4,DNB,996286578
996350470,Gesnerus redivivus auctus & emendatus,1669,,DNB,996350470
996353038,"Epitome quatuor librorum Conradi Gesneri de Historia animalium quadrupedum, viviparorum, aquatilium, et volatilium ... a Basilo Fabro Sorano",1601,"IV 205, 1 h",DNB,996353038
99635431X,De serpentibus,1613,"IV 114, 50",DNB,99635431X
996359540,Deutsche Mundarten,1873,Aa 16,DNB,996359540
996368353,Gestehungskosten-Tabellen zur Errechnung des Preises einer Satz- und Druckstunde,19XX,Bö B III 1639,DNB,996368353
996373608,"AVLAE|| TVRCICAE,|| OTHOMANNICIQ'VE|| IMPERII, DESCRIPTIO, QVA|| NON SOLVM PALATINA TVRCA-||rum officia, eorumq. nomina permultis ha-||ctenus ignota, enarrantur ...",1573,"IV 74, 25",DNB,996373608
99638653X,"Tractatus de usucapionibus et diversi temporis praescriptionibus, ad theoricam praximque utillisimus, et legum studiosis tam in schola, quam in foro valde necessarius ; ...",1602,"IV 114, 27",DNB,99638653X
996399127,Bulgarski basni ot Canja Ginčova,1870,"Vo, 99",DNB,996399127
996432493,"Sebastiani Goebelii Methodologia homiletica, sive De arte concionandi liber praeceptis selectioribus et exemplis praxi recentiorum conformibus adornatus",1672,"IV 229, 7",DNB,996432493
996433384,"DE RATI||ONE SYLLABARVM BREVIS|| Isagoge, qua nulla magis succincta esse poterit. Re||cognita ia[m] ab eius authore D. HENRICO|| Glareano Heluetio, Poeta laureato|| EIVSDEN|| SVCCINCTA DE FIGURIS?|| quibus crebro Poe͏̈tae utuntur, ... ex|| diuersis authoribus, ...|| ... collecta||",1530,"III 21, 21 a (2. angebundenes Werk)",DNB,996433384
996582584,Hermann und Dorothea,1876,Cc 11,DNB,996582584
996655034,"Ceremoniel der Buchbinder, in welchem nicht allein dasjenige, was bey dem Auffdingen, Loßsprechen und Meister-werden nach denen Articuls",1728,Bö B V 7,DNB,996655034
996682376,"Verzeichniss sämmtlicher Schriften über Gewerbe-Literatur und Industrie, Handwerks-, Innungsund Patentwesen, Kunsthandwerk, Gewerbe-Ausstellungen etc. welche von 1865 - 1881 im deutschen Buchhandel erschienen sind",1881,Bö C X 441,DNB,996682376
99668266X,"Verzeichniss sämmtlicher Schriften über Textil-Industrie, Spinnerei, Weberei, ... welche von 1865 - 1881 im deutschen Buchhandel erschienen sind",1881,Bö C X 441,DNB,99668266X
996682813,"Verzeichniss sämmtlicher Schriften über alle Gebiete des Versicherungswesens, welche von 1857 bis 1882 im deutschen Buchhandel erschienen sind, nebst Angabe einiger werthvoller älterer Werke: In 11 Rubriken systemat. zsgest",1882,Bö C X 441,DNB,996682813
996696687,"Verzeichniß einiger Büchermerkwürdigkeiten aus den sechzehenten und siebenzehenten Jahrhunderten, welche sich in der Bibliothek des regulirten Korherrenstiftes des heil. Augustin zu Neustift in Tyrol befinden",1790,Bö F III 51,DNB,996696687
996697012,"Verzeichniß typographischer Denkmäler aus dem fünfzehenten  Jahrhundert, welche sich in der Bibliothek des regulirten Korherrenstiftes des heil. Augustin zu Neustift in Tyrol befinden",1789,Bö F III 51,DNB,996697012
996709347,A @general index to Hazlitt's handbook and his bibliographical collections (1867 - 1889),1893,Bö F III 181,DNB,996709347
996718842,"Jacobi Gretseri libri duo de benedictionibus, et tertius de maledictionibus",1615,"IV 164, 5",DNB,996718842
996719296,"Libelli famosi quo vix post hominum memoriam impudentior et flagitiosior prodiit adversus illustrissimum cardinalem Robertum Bellarminum, castigatio",1615,"IV 164, 5 (Angebundenes Werk)",DNB,996719296
996804277,Incunabeln-Sammlung von F. G. H. Culemann,1844,Ad 36,DNB,996804277
996804277,Incunabeln-Sammlung von F. G. H. Culemann,1844,Bö F III 52,DNB,996804277
996805400,Verzeichniss der Handschriften und Incunabeln der Stadt-Bibliothek zu Hannover,1844,Ad 36,DNB,996805400
996809082,Books published by Groombridge and Sons,1859,Bö B II 240,DNB,996809082
996809465,"New books and new editions, comprising illustrated works on natural history, science, educational & general literature, including books suitable for presents",1863,Bö B II 240 a,DNB,996809465
996836101,Ehestands-Freunden-Galopp,1845,"Vab, 113",DNB,996836101
996836527,Vagabonden-Polka für das Piano Forte,1845,"Vab, 113",DNB,996836527
996842721,"""Der @Nutzen ist ein Teil der Schönheit""",1955,Fd 25,DNB,996842721
996849793,[Gutenberg-Gedenkmünzen,1840,Da 112,DNB,996849793
996856285,"Anhang einiger Gebeter auf alle Tage in der Wochen, ... genommen aus Johann Habermanns geistreichem Gebet-Buch, nebst dem sonntäglichen öffentlichen Kirchengebet, wie auch demjenigen, weches an denen Buß- und Bettagen in denen Mecklenburgischen Kirchen gebräuchlich",1767,"VIII, 148 (1. angebundenes Werk)",DNB,996856285
996865101,Zur Gutenbergs-Feier in Königsberg am 5. Dezember 1840,1840,Da 385,DNB,996865101
996866027,Nos Bibliothèques,1897,Bö G I 80/2°,DNB,996866027
99690784X,"Verzeichniß der Schriften, Calender - und mathematischer Zeichen, wie auch der Röschen, Leisten und Finalstöcke, welche sich dermalen vorräthig befinden bey Julius Wilhelm Hamm, d. jüng. Bürger u. Buchdrucker ... in Augsburg",1790,Bö B III 232,DNB,99690784X
996908234,Hampe,1896,Ad 129,DNB,996908234
996908404,The @stationers' handbook and guide to the paper trade,1859,Bö B II 240,DNB,996908404
996910387,,1881,"III 26, 1 (1. angebundenes Werk)",DNB,996910387
996914749,The @stationers' handbook and guide to the paper trade,1863,Bö B II 240 a,DNB,996914749
996949178,"""Die @Kunst unserer Zeit""",1908,Bö F II 300/2°,DNB,996949178
996967060,De Fide meretricū in suos amato=||res,1509,"III 60, 95",DNB,996967060
996978143,Brief von Oscar von Hase an Albrecht Kirchhoff v. 15. 7. 1890,1890,Bö H 232,DNB,996978143
997009772,A @select list of works or editions by William Carew Hazlitt of the Inner Temple,1892,Bö F III 181,DNB,997009772
997010185,Michael Healy,1845,Va 3657,DNB,997010185
997014822,Rheinländischer Hausfreund,1829,Va 1027,DNB,997014822
997018550,Die @Freimaurerei im Lichte der Wahreit!,1906,Bö C VII 2994,DNB,997018550
997022507,Buch der Lieder,1844,Va 1674,DNB,997022507
997024356,Neue Gedichte,1844,Va 1674,DNB,997024356
997034254,J. J. Heckenhauersche Buch- und Antiquariatshandlung,1880,Da 115a,DNB,997034254
997036885,"AGENDA,|| Das ist:|| Kirchenordnung, wie|| sich die Pfarrherrn vnd diensten halten sollen,|| Für die Diener der Kirchen in|| Hertzog Heinrichen zu|| Sachssen V. G. H.|| Fürstenthumb|| gestellet||",1564,"III 104, 23 d",DNB,997036885
99703713X,"Benjamin Hederichs Anleitung zu den fürnehmsten historischen Wissenschaften, benanntlich der Geographie, Chronologie, Genealogie und Heraldica, der Historia Vniversali, Notitia Auctorum, den Römischen Antiquitäten und der Mythologie,",1733,"IV 33, 32",DNB,99703713X
997037547,"Fasti consulares Romani, oder Chronologie der Römischen Bürgermeister und anderer Zwischen-Obrigkeiten ... zur Erläuterung der römischen Historie ...",1713,"IV 381, 1 (Angebundenes Werk)",DNB,997037547
997038071,Benjamin Hederichs Progymnasmata linguae Graecae oder Vor-Übungen zur Griechischen Sprache ...,1717,"IV 434, 22a",DNB,997038071
997039531,"Egesippi, des christlichen Geschichtsschreibers fünff Bücher: Von jüdischen Krieg, und endlicher Zerstörung der herrlichen und gewaltigen Statt Jerusalem",1597,"IV 378, 1 d (angebunden)",DNB,997039531
997039531,"Egesippi, des christlichen Geschichtsschreibers fünff Bücher: Von jüdischen Krieg, und endlicher Zerstörung der herrlichen und gewaltigen Statt Jerusalem",1597,Bö M 136,DNB,997039531
99704165X,Bibliothèque alsatique,1868,Ad 126,DNB,99704165X
997044284,Verlags-Catalog der ehemaligen Firma Gebr. Henninger in Heilbronn mit Angabe der jetzigen Besitzer und Preise,1890,Bö C VIII 60,DNB,997044284
997045191,"Holzschnitt-, Kupferstich- und bibliographische Werke aus dem Verlage J. H. Ed. Heitz (Heitz & Mündel), Strassburg",19XX,Bö B IV 262/2°,DNB,997045191
997053976,"Une @découverte, pour l'historie de l'imprimerie",1885,Da 38,DNB,997053976
997053976,"Une @découverte, pour l'historie de l'imprimerie",1885,Bö C IV 48,DNB,997053976
997079916,"Brief an Dr. Albrecht Kirchhoff, Leipzig von August Hendel, Leipzig, betr. Rezension von dessen Vortrag v. 25. 7. 1888",18XX,Bö H 227,DNB,997079916
997080132,"Praktisches Handbuch für Kupferstichsammler, oder Lexikon der vorzüglichsten u. beliebtesten Kupferstecher, Formschneider u. Lithographen, nebst Angaben ihrer besten ... Blätter, ... d. Preise derselben in d. bedeutendsten Auktionen des in- u. Auslandes",1823,,DNB,997080132
997081414,"Lexikon für Kupferstichsammler über die Monogrammisten, Xylographieen, Niello, Galleriewerke, nebst Berichtigungen u. Zusätze zum 1. u. 2. Tl d. praktischen Handbuches für Kupferstichsammler",1838,Ae 6,,
997089164,"Bibliotheca Henrici Philippi Conradi Henke, quondam Propraesidis Consistorii Guelpherbytani ... professoris theolog. ... in Academia Helmstadiensi",1810,,DNB,997089164
997089350,Henke,1810,Bö G II 358,DNB,997089350
997095024,Schenkt Bücher!,1934,Bö D VII 948,DNB,997095024
997102160,"[J.] Barnard & Son's illuminating colours, colour boxes, etc.",1902,Bö B I 268,,
997102381,Abhandlung über den Ursprung der Sprache,1773,"IV 33, 4 a",DNB,997102381
997103493,Conrad Peutinger in seinem Verhältnisse zum Kaiser Maximilian I,1851,VI 55,DNB,997103493
997118873,Specimen Characterum Officinae Typographicae P. M. Michaelis Heringii,1633,Bö H 257/4°,DNB,997118873
997125403,"M. Benjamin Hederichs ... Progymnasmata stili Latini, oder Vor-Übungen der Jugend, zu der lateinischen Sprache ...",1714,"IV 434, 21a (Angebundenes Werk",DNB,997125403
997128666,Herodiani historiarum libri 8,1678,"IV 216, 53",DNB,997128666
997129964,Die @Erfindung des Holzschliffes,1895,Ba 410,DNB,997129964
997131381,"Juris naturae ac gentium summa Capita in officiis humanis, ad Marci Tullii Ciceronis Officior. lib. I. capp. XVI",1691,"IV 162, 24",DNB,997131381
997137738,Herodotu Halik̄arnassēos historiōn logoi 9 ...,1592,"IV 121, 3a",DNB,997137738
997138696,"Herodoti Halicarnassei historiae lib. IX, & de vita Homeri libellus Illi ex interpretatione Laur. Vallae adscripta",1566,"IV 291, 5 a",DNB,997138696
997139536,"Herodotu tu Halikarnasseōs histōria, ...",1570,"IV 291, 5 a",DNB,997139536
997142413,"Paper and paper making, ancient modern",1855,Bö B II 160,DNB,997142413
997144769,"Hesychiu Milēsion Illustriu, peri tōn en paideia dialampsantōn sophōn",1572,"IV 12, 27",DNB,997144769
997144912,Hilaria typographica Erfordiensia,1740,Bö C V 258,DNB,997144912
997144939,"Hesychii Milesii, illustrii cognomento, de his qui eruditionis fama clauere, liber",1572,"IV 12, 27",DNB,997144939
997156104,Anweisung zum musikalisch-richtigen Gesange mit hinlänglichen Exempeln erläutert,1774,"IV 205, 83 a",DNB,997156104
997156570,"Exempel-Buch der Anweisung zum Singen, zum Gebrauche der Schulen und anderer Liebhaber des Gesanges",1774,"IV 205, 83 a (angebundenes Werk)",DNB,997156570
997158352,Matthaei Hillers ... Erklärungs-Register aller Namen in der Heil. Bibel ... verdeutscht ...,1712,"IV 416 C, 1",DNB,997158352
997171685,"Septima Centuria ecclesiasticae historiae, continens descriptionem amplissimarum rerum in regno Christi, quae septimo post eius nativitatem seculo acciderunt ... eodem ordine ... quo superiores Centuriae ... ab autoribus contexta",1567,"IV 27, 1 c",DNB,997171685
997212365,"Octava Centuria ecclesiasticae historiae, continens descriptionem amplissimarum rerum in regno Christi, quae octavo post eius nativitatem seculo acciderunt ... eodem ordine ... ut superiores Centuriae ... in civitate Vuismaria, per autores contexta",1564,"IV 27, 1 c",DNB,997212365
997212535,"Nona Centuria ecclesiasticae historiae, continens descriptionem amplissimarum rerum in regno Christi, quae nono post eius nativitatem seculo acciderunt ... eodem ordine ... ut superiores Centuriae ... in civitate Vuismaria, per autoribus contexta",1565,"IV 27, 1 c",DNB,997212535
997213035,"Historia des Leidens, Sterbens, der Auferstehung und Himmelfahrt Jesu Christi, wie auch der Zerstörung der Stadt Jerusalem",1767,"VIII, 148 (3. angebundenes Werk)",DNB,997213035
997229802,Thesaurus librorum germanicorum saec. XV - XVIII,1854,Da 44,DNB,997229802
997238747,"Verzeichniß der hinterlassenen Büchersammlung des verstorbenen Joh[ann] Fried[rich] Beat[us] Höpffner, welche nebst einem Anhange von Büchern aus allen Fächern der Wissenschaften ... den 10. Sept. 1832 im rothen Collegio zu Leipzig ... versteigert werden soll",1823,"Af 189, 1832",DNB,997238747
997238763,"Hailsbronnischer Antiquitäten-Schatz, enthaltend derer uralten Burggrafen von Nürnberg,dann derer von denenselben abstammenden Herren Chur-Fürsten und Marggrafen von Brandenburg, auch einiger Graeflich- und Adelichen Familien in der vormahligen Closter-Kirche zu Hailsbronn befindliche Grab-Stätte, Wappen und Gedächtnus-Schrifften,guten Theils in Kupfer gestochen, nebst deren Aebte, Predigere u. Rectorum dieser gemeinschafftl[ichen] Fürsten-Schul Namen und Geschichten, und e. Anhang merck-würdiger Documenten, ingleichen im andern Theil die in geschriebenen und gedruckten Büchern bestehende uralte Closter-Bibliothec, nebens der Lebens-Beschreibung derer namhafftesten Auctorum, eröffnet von Johann Ludwig Hocker",1731,Bö A II 285,DNB,997238763
99723931X,"Verzeichniß von Kupferstichen, Handzeichnungen und Oelgemälden des verstorbenen J[ohann] F[riedrich] B[eatus] Höpffner, welche den 8. Oct. 1832 im rothen Collegio zu Leipzig ... versteigert werden soll",1832,"Af 189, 1832",DNB,99723931X
997239506,"Bibliotheca Heilsbronnensis, sive Catalogus librorum omnium, tam manuscriptorum, quam impressorum, qui in celeberrimi monasterii Heilsbronnensis bibliotheca publica adservantur: Codicum omnium formas, aetatem, typographos, auctores, auctorumque plurimorum vitas, nec non curiosiora et e manuscriptis excerpta exhibens",1731,Bö A II 285,DNB,997239506
997239603,Magyar Mükincsek,1899,Bö G I 80/2°,DNB,997239603
997241241,Elenco dei manuali Hoepli,1896,Bö B I 244,DNB,997241241
997243937,"Eine @Christliche Predigt als ... Herr Vincentius Schmuck, der H. Schrifft Doctor vnd Professor zu Leipzig, Pastor zu S. Nicolas daslebst... zum Superintendenten Ampt der gantzen Leipzigischen Dioeceß, ... den 25. Augusti, Anno 1617 eingewiesen worden ...",1617,"IV 205, 60",DNB,997243937
997244372,Natürliche und künstliche Wasserzeichen,1957,Bd 89,DNB,997244372
997255005,Columbus,1866,"Va, 525/2",DNB,997255005
997257628,Versuch einer Bibliographie der Buchdruckerkunst in Dänemark und in Schweden und Norwegen,1862,Ad 155,DNB,997257628
997271973,"Die @in der evangelischen Kirche gewöhnlichen Sonn- und festtäglichen Episteln und Evangelia ... u. Martin Luthers Kleiner Catechismus, ... u. die ungeänderte Augspurgische Confession",1748,"IV 51, 7 (angebundenes Werk)",DNB,997271973
997275103,Hoffmann von Fallersleben,1844,Aa 21,DNB,997275103
99727655X,Deutsche Übersetzungen und Getichte,1679,"IV 51, 5 b",DNB,99727655X
997301686,Gutenberg Fust und Schöffer,1876,Da 59,DNB,997301686
997305878,Holtrop,1857,Bö C V 806/2°,DNB,997305878
997318724,Der @Engel der Gefangenen (Elisabeth Fry),1875,Va 2918/2,DNB,997318724
997319259,"Prinz Eugenius, der edle Ritter",1860,Va 2918/2,DNB,997319259
997321830,Der @Lohn einer guten That,1880,Va 2918/2,DNB,997321830
997322543,Olaf Thorlacksen,1877,Va 2918/2,DNB,997322543
997335726,Während und nach der Zerstörung von Magdeburg,1863,Va 2918,DNB,997335726
997383518,Apologia coniugalis amoris,1613,"IV 114, 51",DNB,997383518
99739370X,Beer,1840,Caa 1,,
997394765,Physiologie de l'étudiant,1841,Vd 239,DNB,997394765
997403977,,1803,Bö G II 916,DNB,997403977
997418648,Han d'Islande,1885,Vd 269,DNB,997418648
997419202,Le @dernier Jour d'un condamné,1883,Vd 269,DNB,997419202
997423021,"Joh[annis] Hulsemanni Methodus concionandi, auctior ed., cui acc. ejusdem autoris Methodus studii theologici ... nec non Johannis Forsteri Methodus ac formulae concionanci [Methodi concionandi viginti sex, quibus annexae sunt observationes, formulae, & elegantiores phrases in qualibet concionis parte notatu dignissimae], ejusdemque et Leonharti Hutteri, ac Balthasaris Meisneri Consilia de studio theologico, et lectione biblica recte instituendis, ob argumenti similitudinem in unum vol. coll.; et impr.",1677,"IV 229, 7",DNB,997423021
997437324,Rhetorica und Formulare teutsch ...,1560,"IV 99, 1 a",DNB,997437324
