,Gruppe,digi,Lfd Nr.,AKZ,bbg_x,IDN,Link zum Portal,signatur_g_x,Signatur,"steht bei
/ Anm.
zur
Signatur",Provenienzmerkmal,Material,Format,Öffnungswinkel,Einschränkungen,Glasplatte ,Verpackung,Verpackung austauschen ,Schadensklasse,"notwendige Reparatur(en) vor der Digitalisierung, notwendige Reparatur(en) vor der Digitalisierung",Bemerkungen,"Fragen/ Hinweise
an DBSM",Fragen an M. Steinberg,"nicht
am Stand-ort","Größe ÜF
(BxH)","Breite
(nur Ausreißer)","Dicke
(>12 cm)","12° Format
(<15 cm)","Einband-
art","Einband-
art Kommentar","Einband über-
formt (ganz od. teilweise)",Buch bereits restau-riert,"hohler/
fester Rücken (mit Einlage/
Vergoldung?)","Steh-
kanten
(bei Perg.)",Leder pudert ab/roter Zerfall (extrem),Einband stark defor-miert,Be-schläge bes. auftra-gend,Buch-schließe steif,Buch-block Pa./Perg.,saures Füll-material,Register-marken,seitliche Heftung,Buch-block sehr wellig,"Buch-block neigt zum ""Bauch""",ge-schloss-ene Lagen,Falttafeln,"Größe Buch+
Falttafeln (BxH)",Original-grafik,Kolorier-ung / Buch-malerei / Initialen / Rubri-kation,berühr-ungsfreie Digit.,Schrift weit bis in den Falz (Bund-steg in mm) Text-verlust,nicht digitali-sierbar wegen Bund-steg (vorraus-sichtlich),max. Öffnungs-winkel,max. Öffnungs-winkel Kommentar,Digit. mit Begleit-ung,Digit. mit Begleit-ung Kommentar,Rest.-Bericht einge-klebt,Blatt mit Notizen zum Buch eingeklebt ,"Rest.
not-wendig (ja/nein) (vor/nach der Digit.)","Rest.-
Aufwand gesamt
(in Std.)","Rest.
erfolgt",Kassette,Schuber,Buch-schuh,Mappe ,Um-schlag,SB neu,Anmerkungen (allg.),"für Testphase
vorsehen","für Testphase
vorsehen Kommentar",Schutz-behältnis empfohlen,Foto für Erheb. Rest. angefertigt (ab August),feuchte-empfind-liches Leder,"Material am Rücken/
Einband lose / eingeris-sen (auch Titelschild)",Narben spaltet sich ab,"Gelenk(e) 
an/durch-gebro-chen",Bünde gebro-chen (Anzahl),"Rücken lose/
halb lose",Be-schläge locker,"Buch
schließe fragil",Deckel spaltet sich / Fehlstelle im Deckel,Deckel gebro-chen,Deckel lose / halb lose,"Kapital fragil/
lose","Rest.-Aufwand Einband
(in Std.)",Anmerkungen für die Restaurierung am Einband,"Ver-schmutz-ung (Vorsatz / Ränder /
ges. BB)",mikro-bieller Befall,Farb-schicht pudert,Buch-block / Seiten verblockt,erste / letzte Lage oder Seiten lose,(halb-) lose Seiten im BB,Heftung zerstört,Risse / Fehl-stellen im Vorsatz,Risse im Text-bereich / an exponier-ter Stelle (z.B. Ecke),Risse am Rand,"Fehl-stellen im BB
(groß) ",Insekten-fraß (stark),Falten / Knicke,"saures /
brüchiges Papier",Tinten-/ Farbfraß (akut),Register-marken fragil,"Klebe-
streifen ablösen","Rest.-Aufwand Buchblock
(in Std.)",Anmerkungen für die Restaurierung am Buchblock,idn,akz,bbg_y,standort,signatur_g_y,signatur_a,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,bibliothek,einrichtung,exemplar,wert
137,Bö M,True,,L-1525-427679788,Qd,1147901104,,Bö M 112,Bö M 112,,,Ledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,2.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,2.5,,,,x,,,,,,,,,,x,,,,,,,x,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Bö M,True,149.0,L-9999-40696632X,Af,1132649080,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132649080,Bö M 113,Bö M 113,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,2.0,,,,,,,,,,HD,,,,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,4.0,,,,x,,,,,,,,,,x,,,,,,,x,,,,4.0,"Gelenk vorn belassen (ist stabil), loses Leder fixieren/sichern, kleine Fehlstellen im Deckel pasten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Bö M,True,150.0,L-9999-406966338,Af,1132649099,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132649099,Bö M 113,Bö M 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Bö M,True,151.0,L-9999-406966311,Af,1132649072,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132649072,Bö M 113,Bö M 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Bö M,True,152.0,L-9999-406966354,Af,1132649102,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132649102,Bö M 113,Bö M 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bö M,True,153.0,L-1569-181209551,Aal,1003940358,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003940358,Bö M 114 /4°,Bö M 114 /4°,,X,Ledereinband,bis 42 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,1.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,x,,,,,,,,,,80,,,,,,n,0.0,,,,,,,,,,,Box (sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Bö M,True,154.0,L-1551-315177144,Aaf,1066754675,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066754675,Bö M 115,Bö M 115,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,,Signaturfahne austauschen,2.0,,,,,,,,,,HD,,,,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,n,0.0,,,,,,,,"1. Lage locker, aber fest verbunden (hat keinen Platz im Einband, da Leder geschrumpft)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bö M,True,155.0,L-1578-315464747,Aaf,1066936919,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066936919,Bö M 116,Bö M 116,,X,Ledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",,,,Signaturfahne austauschen,2.0,,gereinigt,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,3.0,,,,x,,,,,,,,,x,x,,,,,,,x,,,,2.5,"Ecken am RD stabilisieren, Gelenke belassen (sind stabil)",,,,,,,,x,,,,,,,,,,0.5,Spiegel zurückkleben,,,,,,,,,,,,,,,,,,,,,
145,Bö M,True,156.0,L-1507-181282208,Aal,1003971741,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003971741,Bö M 117/4°,Bö M 117/4°,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, Einband mit Schutz- oder Stoßkanten",,Kassette,Nein,0.0,,,,,,,,,,Pg,,,x,h,x,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Bö M,True,157.0,L-1538-406961077,Af,1132643635,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132643635,Bö M 118,Bö M 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Bö M,True,158.0,L-1538-406961050,Af,1132643619,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132643619,Bö M 118,Bö M 118,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, welliger Buchblock",,,Signaturfahne austauschen,1.0,,,,,,,,,,HD,,,,f,,,,,,Pa,,x,,,,,,,,,,,,60,,,,,,n,0.0,,,,x,,,,Registermarken als Streifen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Bö M,True,159.0,L-1538-406961069,Af,1132643627,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1132643627,Bö M 118,Bö M 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Bö M,True,160.0,L-1541-315487887,Aaf,1066957258,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066957258,Bö M 119,Bö M 119,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","welliger Buchblock, erhabene Illuminationen",nicht auflegen,,Signaturfahne austauschen,0.0,,,,,,,,,,L,,,x,f,,,,,,Pa,,,,x,,,,,,I,x,,,60,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Bö M,True,161.0,L-1521-315308605,Aaf,1066849587,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066849587,Bö M 120,Bö M 120,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,1.0,,gereinigt,,,,,,,,HD,,,,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,n,0.0,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Bö M,True,162.0,L-1510-31548845X,Aaf,1066957835,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066957835,Bö M 121,Bö M 121,,X,Halbledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, welliger Buchblock",,,Signaturfahne austauschen,0.0,,,,,,,,,,HL,,,x,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Bö M,True,163.0,L-1521-315470119,Aaf,1066942501,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066942501,Bö M 122,Bö M 122,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, Schrift bis in den Falz",,Archivkarton,"Nein, Signaturfahne austauschen",0.0,,,,,,,,,,L,,,x,f,,,,,,Pa,,x,,x,,,,,,,,,x,45,,,,,,n,0.0,,,,,x,,,Registermarken als Streifen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Bö M,True,164.0,L-1584-181286963,Aal,1003976174,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003976174,Bö M 123/4°,Bö M 123/4°,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,0.0,,,,,,,,,,HD,,,,f,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Bö M,True,165.0,L-1550-18112968X,Aal,1003879004,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003879004,Bö M 124/4°,Bö M 124/4°,,X,"Pergamentband, Schließen, erhabene Buchbeschläge",bis 35 cm,180°,"hohler Rücken, Einband mit Schutz- oder Stoßkanten",,Kassette,Nein,0.0,,,,,,,,,,Pg,,,x,h/E,x,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Bö M,True,,L-9999-429339356,Qd,1148790519,,Bö M 125,Bö M 125,,X,Ledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,1.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,x,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,Ecken noch stabil genug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Bö M,True,168.0,L-1743-181148749,Afl,1003897894,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003897894,Bö M 126/4°,Bö M 126/4°,,X,Ledereinband,bis 42 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, welliger Buchblock",,,Signaturfahne austauschen,1.0,,,,,,,,,,L,,,,f/V,,x,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,2.5,,,,x,,,,,,,Umschlag (Leder pudert),,x,,,v/h,,,,,,,,,2.5,"Gelenke mit JP+Gewebe unterlegen, ggf. Rücken zurückkleben",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Bö M,True,169.0,L-1738-181121697,Aal,1003872166,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003872166,Bö M 127/4°,Bö M 127/4°,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, welliger Buchblock",,Papierumschlag ,Ja,0.0,,,,,,,,,,Pg,"
bemalter Perg.band",,,h,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (bes. Einband),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Bö M,True,,L-9999-414986482,Qd,1138380075,,Bö M 128/4°,Bö M 128/4°,,X,Papier- oder Pappeinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, welliger Buchblock",,Papierumschlag ,Ja,0.0,,,,,,,,,,Pa,,,x,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (abriebgefährdet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Bö M,True,176.0,L-1531-181117096,Aal,1003867979,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003867979,Bö M 129/4°,Bö M 129/4°,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, welliger Buchblock, gefaltete Blätter",,,Signaturfahne austauschen,0.0,,,,,,,,,,Pg (Mak.),,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,Umschlag (bes. Einband),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bö M,True,177.0,L-1581-315488573,Aaf,1066957932,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066957932,Bö M 130,Bö M 130,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","welliger Buchblock, Schrift bis in den Falz",,,Signaturfahne austauschen,0.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,3.0,x,60,,,,,,ja vor,3.0,,,,,,,,,,,,,,x,,,,,,,x,,,,1.0,nur Ecke unten vorn stabilisieren,x,,,,,,,x,,x,,x,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
161,Bö M,True,178.0,L-1528-315492988,Aaf,1066962642,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066962642,Bö M 131,Bö M 131,,X,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",,,Kassette,Nein,0.0,,mit Kette,,,,,,,,HD,,,x,f,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,Gewebe,,,,,,Kettenbuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Bö M,False,179.0,L-1515-343788357,,999799924,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D999799924,,Bö M 132,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,,,0.0,,,,,,,,,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999799924,L-1515-343788357,Aal,DBSM/M/Boe,Bö M 132,Bö M 132,"OTTONIS PHRISINGEN||sis Episcopi, viri clarissimi, Rerum ab ori||gine mundi ad ipsius vs#[que] tempora|| gestarum, Libri Octo.|| EIVSDEM De gestis Fri", : ,"Holzschn.-Titel, [13] Bl., 105 S., [2] Bl., Holzschn.-Titel, [5] Bl., 83 S., [1] Bl.",,,,1262282411,Qd,,,mit zahlr. hs. Eintragungen,,1.0,3.0,
163,Bö M,True,180.0,L-1796-181299720,Afl,100398861X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D100398861X,Bö M 133/4°,Bö M 133/4°,,X,Ledereinband,bis 35 cm,180°,hohler Rücken,,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,Umschlag (bes. Einband),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Bö M,True,181.0,L-1790-181300168,Aal,100398908X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D100398908X,Bö M 134/4°,Bö M 134/4°,,X,Papier- oder Pappeinband,bis 35 cm,180°,,,,Signaturfahne austauschen,1.0,,,,,,,,,,Pa,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,ja vor,2.0,,,,x,,,,,,,,,,x,,,,,,,,,,,2.0,nach Festigung Gelenke mit JP überfangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Bö M,True,182.0,L-1707-181193744,Aal,1003925332,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003925332,Bö M 135/4°,Bö M 135/4°,,X,Halbledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, welliger Buchblock",,,Signaturfahne austauschen,1.0,,,,,,,,,,HL,,,,f/V,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,3.5,,,,x,,,,,,,,,x,x,,,,,,,x,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Bö M,False,183.0,L-1597-430080735,,997039531,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D997039531,,Bö M 136,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,Kassette,Nein,0.0,,,,,,,,,,Pg,,,x,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997039531,L-1597-430080735,Aal,DBSM/M/Bö,Bö M 136,Bö M 136,"Egesippi, des christlichen Geschichtsschreibers fünff Bücher: Von jüdischen Krieg, und endlicher Zerstörung der herrlichen und gewaltigen Statt Jerusa", : ,"[5] Bl., 214 S., [5] Bl.",,,,1149184833,Qd,,,,,1.0,3.0,
167,Bö M,True,185.0,L-1551-430082444,Aal,1066960186,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066960186,Bö M 137 - Fragm.,Bö M 137 - Fragm.,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,,,0.0,,,,,,,,,,HPg,,,x,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Bö M,True,186.0,L-1811-181297485,Aal,1003986471,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003986471,Bö M 138/4°,Bö M 138/4°,,,Ledereinband,> 42 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, welliger Buchblock, stark brüchiges Einbandmaterial",,Papierumschlag ,Ja,3.0,,,,,,,,,,L,,,,h/E,,x,,,,Pa,,,,,,,,,,,,,,60,,,,,,n,0.0,,,,,x,x sauer,x,,,,Umschlag (Leder pudert),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Bö M,True,187.0,L-1518-181144166,Aal,1003893422,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003893422,Bö M 139/4°,Bö M 139/4°,,X,Papier- oder Pappeinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, Schrift bis in den Falz",,,Signaturfahne austauschen,0.0,,,,,,,,,,Pa,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Bö M,True,188.0,L-1518-315487011,Aaf,1066956324,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066956324,Bö M 140,Bö M 140,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","welliger Buchblock, Schrift bis in den Falz, stark brüchiges Einbandmaterial",,,Signaturfahne austauschen,3.0,,,,,,,,,,HD,,,x,f,,,,,,Pa,,,,,,,,,,,,2.0,x,max 110,,,,,,ja vor,5.5,,,,x,,,,,,,,,,x,,v,,,,,,,,,2.5,Gelenk mit JP+Gewebe unterlegen,x,,,,,,,x,,x,,,,,,,,3.0,Ränder trocken reinigen,,,,,,,,,,,,,,,,,,,,,
171,Bö M,True,189.0,L-1509-181272512,Aal,100396219X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D100396219X,Bö M 141/4°,Bö M 141/4°,,,Ledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,,Signaturfahne austauschen,1.0,,,,,,,,,,L,"
flexibler Lederbd.",,,h,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,Box (flexibler Einband),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Bö M,True,190.0,L-1519-181116448,Aal,1003867448,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003867448,Bö M 142/4°,Bö M 142/4°,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","welliger Buchblock, hohler Rücken",,,Signaturfahne austauschen,2.0,,,,,,,,,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Bö M,True,191.0,L-1774-181129817,Aal,1003879144,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003879144,Bö M 143/4°,Bö M 143/4°,,X,Ledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, gefaltete Blätter, stark brüchiges Einbandmaterial",,Papierumschlag ,Ja,3.0,,,,,,,,,,L,,,,f/V,,,,,,Pa,,,,,,,x,"B: 23x28
F: 42x28",x,,,,,60,,,,,,n,0.0,,,,,,x sauer,x,,,,Umschlag (bes. Einband),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Bö M,True,192.0,L-1701-181117355,Aal,1003868134,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003868134,Bö M 144/4°,Bö M 144/4°,,X,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, stark brüchiges Einbandmaterial, welliger Buchblock",,Papierumschlag ,Ja,3.0,,,,,,,,,,L,,,,f/V,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,3.5,,,,,,x sauer,x,,,,Umschlag (abriebgefährdet),,x,x,,v,,,,,,,,x,3.5,Gelenk mit JP unterlegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Bö M,True,193.0,L-1740-181182173,Afl,1003914896,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003914896,Bö M 145/4°,Bö M 145/4°,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",fester Rücken mit Schmuckprägung,,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,n,0.0,,,,,,x sauer,x,,,,Umschlag (abriebgefährdet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Bö M,True,,L-9999-430200986,Qd,1149267690,,Bö M 146,Bö M 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Bö M,False,194.0,L-1580-430200935,,1149267607,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1149267607,,Bö M 146 (angebunden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
